violation_id,timestamp,location,violation_type,vehicle_type,severity
V01599,2025-08-23 19:15:39.664220,"51.5074,-0.1278",Unknown,Truck,4
V01600,2025-08-23 07:58:39.664220,INT004,Red Light,,5
V01601,2025-08-17 04:46:39.664220,INT003,Unknown,Car,1
V01602,2025-10-20 09:52:39.664220,"40.7128,-74.0060",Unknown,,1
V01603,2025-08-22 06:39:39.664220,"40.7128,-74.0060",Red Light,Motorcycle,2
V01604,2025-10-17 22:23:39.664220,"34.0522,-118.2437",Illegal Turn,Car,2
V01605,2025-10-14 06:15:39.664220,INT004,Red Light,,5
V01606,2025-08-24 11:57:39.664220,"34.0522,-118.2437",Speeding,Car,2
V01607,malformed,INT001,Red Light,Truck,2
V01608,2025-09-22 10:18:39.664220,"34.0522,-118.2437",Red Light,,3
V01609,2025-09-20 11:57:39.664220,INT004,Red Light,,4
V01610,2025-10-27 09:29:39.664220,INT001,Unknown,Truck,4
V01611,2025-08-28 10:18:39.664220,INT002,Speeding,Car,2
V01612,2025-10-22 07:36:39.664220,INT001,Illegal Turn,Truck,4
V01613,2025-09-15 03:19:39.664220,"48.8566,2.3522",Illegal Parking,,1
V01614,2025-08-07 14:10:39.664220,INT004,Speeding,Truck,3
V01615,malformed,INT005,Illegal Parking,,2
V01616,2025-08-24 23:31:39.664220,INT001,Unknown,Car,1
V01617,2025-08-03 20:26:39.664220,INT001,Unknown,Car,2
V01618,2025-07-30 17:12:39.664220,INT003,Red Light,,2
V01619,2025-09-01 18:01:39.664220,"34.0522,-118.2437",Illegal Turn,,5
V01620,2025-08-04 05:55:39.664220,INT001,Red Light,Bus,4
V01621,2025-09-13 00:28:39.664220,"51.5074,-0.1278",Illegal Parking,Truck,2
V01622,2025-10-16 10:36:39.664220,INT002,Unknown,Bus,1
V01623,2025-09-10 23:20:39.664220,"48.8566,2.3522",Red Light,Motorcycle,5
V01624,2025-10-13 04:38:39.664220,INT001,Illegal Parking,Bus,3
V01625,2025-10-02 20:00:39.664220,"34.0522,-118.2437",Red Light,Motorcycle,2
V01626,2025-07-31 14:28:39.664220,INT005,Unknown,Bus,3
V01627,2025-10-01 21:57:39.664220,"40.7128,-74.0060",Red Light,Motorcycle,3
V01628,2025-08-08 16:52:39.664220,INT005,Red Light,Truck,5
V01629,2025-09-01 05:14:39.664220,INT005,Speeding,,5
V01630,2025-10-21 20:06:39.664220,INT002,Unknown,Car,1
V01631,2025-09-13 21:11:39.664220,"34.0522,-118.2437",Red Light,Car,5
V01632,malformed,INT002,Speeding,Bus,3
V01633,2025-08-16 02:53:39.664220,INT001,Red Light,Motorcycle,5
V01634,2025-09-27 20:02:39.664220,INT001,Unknown,Truck,4
V01635,2025-09-13 04:50:39.664220,"51.5074,-0.1278",Unknown,Bus,5
V01636,2025-09-16 00:15:39.664220,INT003,Illegal Turn,Car,5
V01637,2025-10-10 11:00:39.664220,INT003,Speeding,,5
V01638,2025-09-21 07:27:39.664220,INT002,Illegal Parking,Truck,5
V01639,2025-08-03 21:42:39.664220,"34.0522,-118.2437",Illegal Parking,Bus,5
V01640,2025-09-05 22:02:39.664220,"34.0522,-118.2437",Unknown,Truck,3
V01641,2025-09-10 13:29:39.664220,"48.8566,2.3522",Red Light,Truck,5
V01642,2025-07-31 11:00:39.664220,"34.0522,-118.2437",Speeding,,3
V01643,2025-08-07 02:06:39.664220,"40.7128,-74.0060",Unknown,Motorcycle,3
V01644,2025-09-21 08:13:39.664220,INT005,Illegal Turn,Car,4
V01645,2025-08-22 17:03:39.664220,INT002,Speeding,Car,5
V01646,2025-08-28 23:28:39.664220,INT001,Unknown,Motorcycle,5
V01647,2025-08-02 08:18:39.664220,"34.0522,-118.2437",Speeding,,5
V01648,2025-08-21 08:00:39.664220,INT005,Red Light,Car,4
V01649,2025-08-18 20:54:39.664220,INT001,Red Light,,5
V01650,2025-08-29 07:06:39.664220,"51.5074,-0.1278",Red Light,Truck,5
V01651,2025-09-25 05:27:39.664220,"51.5074,-0.1278",Illegal Parking,Truck,3
V01652,2025-10-25 08:04:39.664220,INT005,Speeding,Bus,5
V01653,2025-08-12 20:33:39.664220,INT005,Speeding,Motorcycle,4
V01654,2025-09-03 20:41:39.664220,"48.8566,2.3522",Illegal Turn,Truck,1
V01655,2025-09-13 03:44:39.664220,INT003,Unknown,Car,3
V01656,2025-09-02 06:40:39.664220,INT003,Unknown,,5
V01657,2025-10-11 06:47:39.664220,"51.5074,-0.1278",Speeding,Motorcycle,2
V01658,2025-09-24 02:16:39.664220,INT001,Speeding,Motorcycle,3
V01659,2025-10-07 09:11:39.664220,INT001,Speeding,,5
V01660,2025-08-05 05:08:39.664220,INT004,Speeding,Bus,1
V01661,2025-08-13 20:16:39.664220,"40.7128,-74.0060",Illegal Parking,Truck,4
V01662,2025-08-05 22:03:39.664220,INT002,Illegal Turn,Truck,5
V01663,2025-08-27 10:57:39.664220,"51.5074,-0.1278",Speeding,Car,1
V01664,2025-09-28 14:01:39.664220,"48.8566,2.3522",Speeding,Truck,2
V01665,2025-08-03 07:59:39.664220,"34.0522,-118.2437",Illegal Turn,Car,5
V01666,2025-10-15 01:23:39.664220,INT004,Unknown,,3
V01667,2025-10-03 15:21:39.664220,"51.5074,-0.1278",Illegal Turn,Bus,5
V01668,2025-10-09 16:39:39.664220,"51.5074,-0.1278",Speeding,Bus,5
V01669,2025-10-05 09:42:39.664220,INT001,Illegal Parking,Bus,1
V01670,2025-08-24 19:54:39.664220,"40.7128,-74.0060",Illegal Turn,Car,2
V01671,2025-07-31 10:23:39.664220,INT004,Unknown,Car,5
V01672,malformed,INT001,Unknown,,2
V01673,2025-09-21 14:00:39.664220,"48.8566,2.3522",Speeding,Bus,4
V01674,2025-09-07 00:20:39.664220,"48.8566,2.3522",Speeding,Motorcycle,1
V01675,2025-08-18 00:25:39.664220,"34.0522,-118.2437",Illegal Parking,Truck,3
V01676,2025-08-23 04:24:39.664220,"40.7128,-74.0060",Unknown,Car,3
V01677,2025-10-15 07:54:39.664220,"48.8566,2.3522",Illegal Turn,Car,4
V01678,2025-09-18 10:46:39.664220,INT001,Illegal Turn,Bus,1
V01679,2025-08-29 19:57:39.664220,INT001,Illegal Parking,Truck,2
V01680,2025-09-07 11:05:39.664220,INT005,Illegal Turn,Car,5
V01681,2025-10-14 23:41:39.664220,"40.7128,-74.0060",Unknown,Truck,2
V01682,2025-10-22 13:42:39.664220,INT005,Speeding,Motorcycle,3
V01683,malformed,"51.5074,-0.1278",Speeding,Truck,2
V01684,2025-07-28 18:58:39.664220,INT003,Unknown,Motorcycle,2
V01685,2025-08-10 02:04:39.664220,INT001,Unknown,Car,2
V01686,2025-07-28 15:19:39.664220,"40.7128,-74.0060",Illegal Parking,Car,4
V01687,2025-10-06 05:49:39.664220,"40.7128,-74.0060",Speeding,Bus,1
V01688,2025-09-20 07:01:39.664220,INT005,Illegal Parking,Car,1
V01689,2025-10-22 21:13:39.664220,"34.0522,-118.2437",Speeding,Truck,5
V01690,2025-09-25 02:39:39.664220,INT005,Illegal Turn,Truck,1
V01691,2025-10-04 22:07:39.664220,INT005,Illegal Parking,Bus,3
V01692,2025-10-16 07:46:39.664220,"34.0522,-118.2437",Unknown,Truck,4
V01693,2025-10-22 18:42:39.664220,"34.0522,-118.2437",Speeding,Car,4
V01694,2025-10-07 20:53:39.664220,INT004,Unknown,Car,1
V01695,2025-10-24 22:56:39.664220,"48.8566,2.3522",Red Light,Truck,2
V01696,2025-09-05 04:18:39.664220,"40.7128,-74.0060",Illegal Parking,,3
V01697,2025-08-07 23:00:39.664220,INT005,Red Light,Car,5
V01698,malformed,INT005,Red Light,Bus,2
V01699,2025-09-06 07:19:39.664220,INT002,Unknown,Truck,4
V01700,2025-09-19 11:24:39.664220,"34.0522,-118.2437",Illegal Turn,Bus,3
V01701,2025-09-12 14:50:39.664220,"48.8566,2.3522",Illegal Parking,Car,3
V01702,2025-09-11 11:27:39.664220,"40.7128,-74.0060",Unknown,Motorcycle,1
V01703,2025-07-29 23:19:39.664220,INT003,Illegal Parking,Car,1
V01704,2025-09-25 11:25:39.664220,"48.8566,2.3522",Speeding,Motorcycle,5
V01705,malformed,INT005,Unknown,,5
V01706,2025-09-30 00:32:39.664220,INT001,Unknown,Car,1
V01707,2025-09-08 14:02:39.664220,"48.8566,2.3522",Speeding,,4
V01708,2025-10-02 10:17:39.664220,"48.8566,2.3522",Unknown,,3
V01709,2025-10-04 19:05:39.664220,"34.0522,-118.2437",Red Light,Motorcycle,1
V01710,2025-10-01 05:09:39.664220,"48.8566,2.3522",Illegal Parking,Truck,2
V01711,2025-10-01 03:55:39.664220,INT001,Illegal Parking,Truck,2
V01712,2025-08-24 02:49:39.664220,INT003,Illegal Turn,,4
V01713,2025-09-21 13:38:39.664220,"34.0522,-118.2437",Red Light,Truck,1
V01714,2025-10-25 23:28:39.664220,"34.0522,-118.2437",Speeding,Motorcycle,2
V01715,2025-10-16 02:38:39.664220,"51.5074,-0.1278",Red Light,Car,3
V01716,2025-09-07 06:17:39.664220,INT004,Unknown,Motorcycle,1
V01717,2025-09-16 22:41:39.664220,"48.8566,2.3522",Red Light,Car,1
V01718,2025-09-09 22:48:39.664220,INT002,Unknown,Bus,4
V01719,2025-08-26 10:27:39.664220,"40.7128,-74.0060",Unknown,Motorcycle,3
V01720,malformed,INT002,Unknown,Truck,3
V01721,2025-07-30 18:30:39.664220,INT005,Speeding,Car,2
V01722,2025-09-17 17:53:39.664220,INT003,Unknown,Truck,3
V01723,2025-09-17 17:45:39.664220,"48.8566,2.3522",Unknown,Motorcycle,5
V01724,2025-09-08 18:44:39.664220,"34.0522,-118.2437",Illegal Turn,,1
V01725,2025-08-15 14:37:39.664220,"48.8566,2.3522",Red Light,,1
V01726,2025-08-10 04:05:39.664220,INT002,Illegal Turn,Motorcycle,1
V01727,2025-10-23 20:40:39.664220,"40.7128,-74.0060",Illegal Parking,Truck,2
V01728,2025-09-27 12:31:39.664220,INT003,Illegal Parking,Bus,3
V01729,2025-08-27 08:42:39.664220,INT002,Illegal Turn,Truck,5
V01730,2025-09-11 18:59:39.664220,INT005,Speeding,Car,1
V01731,2025-10-08 22:04:39.664220,"40.7128,-74.0060",Illegal Parking,Bus,3
V01732,2025-10-12 14:26:39.664220,"48.8566,2.3522",Illegal Turn,,1
V01733,2025-09-12 16:29:39.664220,"51.5074,-0.1278",Speeding,Truck,4
V01734,2025-09-16 21:21:39.664220,"51.5074,-0.1278",Red Light,Bus,5
V01735,2025-09-09 14:30:39.664220,"34.0522,-118.2437",Speeding,Truck,5
V01736,2025-07-30 13:04:39.664220,INT003,Unknown,Bus,4
V01737,2025-09-23 23:54:39.664220,INT003,Illegal Parking,Bus,2
V01738,2025-07-30 08:06:39.664220,INT001,Speeding,,3
V01739,2025-09-11 19:20:39.664220,INT003,Unknown,Bus,2
V01740,2025-08-17 13:15:39.664220,INT001,Red Light,Motorcycle,3
V01741,2025-08-26 10:51:39.664220,INT004,Unknown,Car,1
V01742,2025-10-02 18:18:39.664220,"48.8566,2.3522",Unknown,Car,5
V01743,2025-08-09 13:05:39.664220,INT004,Illegal Turn,,2
V01744,2025-10-06 19:51:39.664220,INT001,Illegal Turn,Truck,3
V01745,2025-09-07 05:25:39.664220,"51.5074,-0.1278",Red Light,Bus,1
V01746,2025-08-27 15:21:39.664220,"48.8566,2.3522",Illegal Turn,,4
V01747,2025-08-26 05:33:39.664220,INT005,Unknown,Motorcycle,5
V01748,2025-09-15 00:52:39.664220,INT004,Unknown,Truck,3
V01749,2025-10-07 12:03:39.664220,INT003,Red Light,,2
V01750,2025-07-31 05:20:39.664220,INT002,Illegal Turn,Bus,4
V01751,2025-08-23 22:50:39.664220,INT004,Illegal Turn,Bus,4
V01752,2025-09-12 18:50:39.664220,"51.5074,-0.1278",Red Light,Bus,4
V01753,2025-09-15 04:11:39.664220,INT001,Red Light,Motorcycle,4
V01754,2025-10-19 05:52:39.664220,INT002,Red Light,Truck,2
V01755,2025-09-04 05:06:39.664220,INT005,Unknown,,1
V01756,2025-07-30 03:05:39.664220,INT002,Speeding,Truck,5
V01757,2025-09-05 17:07:39.664220,"48.8566,2.3522",Unknown,Bus,1
V01758,2025-08-20 20:41:39.664220,"40.7128,-74.0060",Unknown,Truck,1
V01759,2025-08-17 02:16:39.664220,"40.7128,-74.0060",Illegal Parking,Bus,3
V01760,2025-10-26 23:08:39.664220,"34.0522,-118.2437",Unknown,Bus,5
V01761,2025-09-21 13:57:39.664220,INT004,Speeding,Truck,3
V01762,2025-08-15 00:49:39.664220,INT004,Illegal Parking,Truck,2
V01763,2025-08-11 02:41:39.664220,"48.8566,2.3522",Red Light,Car,5
V01764,2025-08-13 00:55:39.664220,INT002,Speeding,Truck,3
V01765,malformed,INT004,Illegal Parking,Truck,2
V01766,2025-10-18 22:57:39.664220,"48.8566,2.3522",Speeding,Car,4
V01767,2025-10-14 06:19:39.664220,"34.0522,-118.2437",Unknown,Bus,4
V01768,2025-10-22 12:07:39.664220,INT005,Illegal Turn,,5
V01769,2025-10-06 09:11:39.664220,INT003,Unknown,,3
V01770,2025-10-12 07:44:39.664220,"40.7128,-74.0060",Speeding,Motorcycle,3
V01771,2025-10-13 17:47:39.664220,"51.5074,-0.1278",Illegal Parking,Truck,2
V01772,2025-08-13 23:05:39.664220,INT005,Speeding,,5
V01773,2025-08-22 18:00:39.664220,INT005,Unknown,,1
V01774,2025-09-28 21:07:39.664220,"48.8566,2.3522",Illegal Parking,Motorcycle,2
V01775,malformed,"40.7128,-74.0060",Illegal Parking,Motorcycle,1
V01776,2025-08-17 03:01:39.664220,"34.0522,-118.2437",Illegal Parking,Bus,3
V01777,2025-08-21 14:40:39.664220,INT005,Illegal Turn,,4
V01778,2025-09-16 17:59:39.664220,INT003,Red Light,Motorcycle,3
V01779,2025-09-28 18:27:39.664220,INT004,Red Light,Truck,1
V01780,2025-10-18 16:31:39.664220,INT001,Red Light,Motorcycle,4
V01781,2025-08-16 14:40:39.664220,"34.0522,-118.2437",Red Light,,2
V01782,2025-07-31 07:25:39.664220,INT005,Illegal Parking,,5
V01783,2025-09-14 02:04:39.664220,"48.8566,2.3522",Speeding,Truck,4
V01784,2025-10-26 07:14:39.664220,INT004,Speeding,Bus,5
V01785,2025-09-22 08:04:39.664220,"48.8566,2.3522",Red Light,Truck,3
V01786,2025-09-16 14:04:39.664220,INT001,Illegal Parking,,2
V01787,2025-10-16 18:41:39.664220,INT001,Red Light,Motorcycle,4
V01788,2025-08-16 18:52:39.664220,INT005,Unknown,,1
V01789,2025-08-29 02:51:39.664220,INT005,Illegal Turn,Bus,3
V01790,2025-08-05 00:22:39.664220,"40.7128,-74.0060",Unknown,Bus,5
V01791,2025-07-31 01:05:39.664220,"40.7128,-74.0060",Speeding,Car,3
V01792,2025-10-04 00:38:39.664220,"34.0522,-118.2437",Illegal Turn,Motorcycle,2
V01793,2025-08-31 13:26:39.664220,"51.5074,-0.1278",Speeding,,5
V01794,2025-08-13 22:25:39.664220,INT005,Speeding,Truck,5
V01795,2025-10-19 05:33:39.664220,"51.5074,-0.1278",Illegal Turn,,4
V01796,2025-08-06 23:16:39.664220,INT004,Red Light,Bus,5
V01797,2025-07-29 01:23:39.664220,"40.7128,-74.0060",Speeding,Bus,3
V01798,2025-09-23 19:44:39.664220,INT005,Red Light,Motorcycle,2
V01799,2025-09-27 21:35:39.664220,"40.7128,-74.0060",Illegal Turn,,4
V01800,2025-08-30 15:42:39.664220,INT001,Red Light,Bus,1
V01801,2025-09-26 17:29:39.664220,"48.8566,2.3522",Unknown,Bus,3
V01802,2025-10-20 13:46:39.664220,INT005,Illegal Parking,Truck,3
V01803,2025-09-15 18:33:39.664220,"34.0522,-118.2437",Speeding,Truck,3
V01804,2025-08-29 12:55:39.664220,INT002,Speeding,Bus,4
V01805,2025-08-16 02:01:39.664220,"51.5074,-0.1278",Red Light,,2
V01806,2025-08-17 11:01:39.664220,INT003,Speeding,Motorcycle,5
V01807,2025-09-20 15:34:39.664220,"34.0522,-118.2437",Unknown,Motorcycle,2
V01808,2025-09-27 11:38:39.664220,"51.5074,-0.1278",Illegal Parking,Car,2
V01809,2025-09-12 15:58:39.664220,"34.0522,-118.2437",Unknown,Bus,1
V01810,2025-08-26 15:21:39.664220,"40.7128,-74.0060",Illegal Parking,Bus,5
V01811,2025-09-17 03:07:39.664220,INT003,Illegal Parking,Motorcycle,4
V01812,2025-08-29 08:12:39.664220,INT005,Speeding,Motorcycle,2
V01813,2025-08-25 06:41:39.664220,INT001,Illegal Turn,,5
V01814,2025-07-30 12:56:39.664220,"48.8566,2.3522",Unknown,Truck,2
V01815,2025-10-26 02:55:39.664220,INT003,Red Light,Motorcycle,4
V01816,2025-08-11 07:58:39.664220,INT005,Red Light,Truck,4
V01817,malformed,"48.8566,2.3522",Illegal Turn,Truck,1
V01818,2025-09-14 19:21:39.664220,INT001,Speeding,Bus,2
V01819,2025-09-03 23:14:39.664220,INT005,Red Light,Motorcycle,2
V01820,2025-08-02 12:24:39.664220,INT004,Unknown,Truck,3
V01821,2025-09-01 12:19:39.664220,"34.0522,-118.2437",Unknown,,4
V01822,2025-10-01 07:10:39.664220,INT004,Speeding,Car,3
V01823,2025-10-01 07:52:39.664220,"48.8566,2.3522",Illegal Turn,Motorcycle,5
V01824,2025-08-04 08:36:39.664220,INT003,Illegal Parking,Motorcycle,4
V01825,2025-09-16 07:55:39.664220,"48.8566,2.3522",Red Light,Truck,2
V01826,2025-08-15 11:56:39.664220,INT004,Red Light,Motorcycle,2
V01827,2025-10-04 01:28:39.664220,"51.5074,-0.1278",Speeding,Bus,2
V01828,2025-08-04 14:15:39.664220,"48.8566,2.3522",Illegal Turn,Car,2
V01829,2025-10-01 21:32:39.664220,"48.8566,2.3522",Illegal Parking,Truck,2
V01830,2025-10-25 17:57:39.664220,INT005,Illegal Parking,Truck,3
V01831,2025-08-14 03:23:39.664220,INT003,Red Light,Bus,1
V01832,malformed,"34.0522,-118.2437",Illegal Parking,Motorcycle,5
V01833,2025-10-20 03:10:39.664220,"40.7128,-74.0060",Speeding,Motorcycle,5
V01834,malformed,"48.8566,2.3522",Speeding,,5
V01835,2025-09-24 10:43:39.664220,INT001,Illegal Turn,Car,3
V01836,2025-08-16 12:47:39.664220,INT002,Unknown,Truck,5
V01837,2025-08-26 22:58:39.664220,INT001,Speeding,Truck,2
V01838,2025-08-21 16:02:39.664220,INT004,Illegal Parking,Motorcycle,2
V01839,2025-09-29 08:26:39.664220,"34.0522,-118.2437",Speeding,Car,1
V01840,2025-10-18 01:49:39.664220,INT003,Unknown,Truck,4
V01841,2025-09-06 10:11:39.664220,INT005,Red Light,,5
V01842,2025-10-23 11:20:39.664220,INT001,Illegal Parking,Truck,3
V01843,2025-09-14 03:39:39.664220,"51.5074,-0.1278",Red Light,Truck,2
V01844,2025-08-24 08:17:39.664220,INT005,Red Light,Bus,5
V01845,2025-09-24 12:08:39.664220,"51.5074,-0.1278",Unknown,Motorcycle,4
V01846,2025-08-17 21:43:39.664220,INT005,Illegal Parking,Motorcycle,1
V01847,2025-08-24 01:15:39.664220,INT004,Unknown,Motorcycle,4
V01848,2025-09-06 07:31:39.664220,"40.7128,-74.0060",Speeding,Bus,2
V01849,2025-10-14 15:00:39.664220,INT003,Red Light,Car,5
V01850,2025-10-06 17:20:39.664220,INT002,Red Light,Motorcycle,2
V01851,2025-08-10 17:17:39.664220,INT004,Illegal Parking,Motorcycle,5
V01852,2025-10-18 07:25:39.664220,INT002,Speeding,Motorcycle,2
V01853,2025-08-02 19:53:39.664220,"51.5074,-0.1278",Red Light,Car,5
V01854,2025-09-30 14:17:39.664220,INT002,Illegal Turn,,4
V01855,2025-10-23 10:01:39.664220,"40.7128,-74.0060",Illegal Parking,,2
V01856,2025-09-19 20:43:39.664220,INT002,Unknown,,1
V01857,2025-09-04 21:50:39.664220,INT001,Illegal Parking,Car,2
V01858,2025-08-24 18:11:39.664220,INT002,Unknown,Bus,5
V01859,2025-09-04 06:25:39.664220,"48.8566,2.3522",Illegal Parking,Truck,5
V01860,2025-08-07 22:50:39.664220,INT003,Unknown,Motorcycle,1
V01861,2025-10-25 01:37:39.664220,"40.7128,-74.0060",Illegal Turn,Motorcycle,1
V01862,2025-10-19 08:53:39.664220,"34.0522,-118.2437",Illegal Parking,Truck,1
V01863,2025-09-08 23:17:39.664220,INT003,Red Light,Bus,2
V01864,2025-08-11 13:13:39.664220,INT004,Illegal Turn,Truck,4
V01865,2025-08-03 11:08:39.664220,"51.5074,-0.1278",Illegal Turn,Car,5
V01866,2025-09-16 11:29:39.664220,"40.7128,-74.0060",Illegal Parking,Bus,1
V01867,2025-08-30 03:02:39.664220,"34.0522,-118.2437",Unknown,Bus,2
V01868,2025-09-22 18:35:39.664220,INT005,Unknown,Truck,4
V01869,2025-10-26 08:26:39.664220,INT004,Speeding,,3
V01870,2025-10-10 16:34:39.664220,INT002,Illegal Turn,Truck,1
V01871,2025-10-24 17:00:39.664220,INT003,Illegal Turn,Car,1
V01872,2025-10-23 14:16:39.664220,"48.8566,2.3522",Illegal Turn,Car,2
V01873,malformed,"48.8566,2.3522",Red Light,Truck,1
V01874,2025-10-21 01:31:39.664220,"40.7128,-74.0060",Unknown,Car,3
V01875,2025-08-29 17:29:39.664220,INT003,Illegal Parking,Truck,2
V01876,2025-10-14 22:09:39.664220,"48.8566,2.3522",Speeding,Bus,2
V01877,2025-08-22 12:52:39.664220,INT004,Illegal Turn,Truck,1
V01878,2025-08-02 16:14:39.664220,INT002,Illegal Parking,Car,1
V01879,2025-09-08 10:02:39.664220,INT001,Speeding,Motorcycle,2
V01880,2025-08-22 01:08:39.664220,"51.5074,-0.1278",Illegal Turn,,1
V01881,2025-09-17 23:52:39.664220,INT002,Speeding,Truck,2
V01882,2025-09-18 15:38:39.664220,"48.8566,2.3522",Unknown,,3
V01883,2025-10-25 13:35:39.664220,"51.5074,-0.1278",Red Light,Motorcycle,4
V01884,2025-10-25 14:37:39.664220,"34.0522,-118.2437",Unknown,Truck,3
V01885,2025-09-19 12:22:39.664220,"48.8566,2.3522",Illegal Turn,Truck,3
V01886,2025-08-03 10:02:39.664220,"51.5074,-0.1278",Illegal Turn,Truck,3
V01887,malformed,INT002,Red Light,Car,3
V01888,2025-10-08 09:41:39.666224,INT005,Speeding,Bus,1
V01889,2025-10-05 09:46:39.666224,INT003,Unknown,,5
V01890,2025-09-13 18:02:39.666224,INT002,Red Light,Motorcycle,1
V01891,2025-09-07 14:30:39.666224,"51.5074,-0.1278",Speeding,Bus,5
V01892,2025-07-31 15:19:39.666224,INT002,Unknown,Car,1
V01893,2025-09-30 00:30:39.666224,"34.0522,-118.2437",Illegal Turn,,4
V01894,2025-09-12 14:35:39.666224,INT003,Red Light,Car,5
V01895,2025-08-16 17:44:39.666224,INT001,Speeding,Car,1
V01896,2025-09-17 04:14:39.666224,INT002,Illegal Parking,Truck,1
V01897,2025-10-17 10:12:39.666224,"40.7128,-74.0060",Red Light,,5
V01898,2025-08-11 03:06:39.666224,"40.7128,-74.0060",Unknown,,4
V01899,2025-09-27 03:45:39.666224,"34.0522,-118.2437",Speeding,Truck,2
V01900,2025-10-05 02:08:39.666224,INT003,Illegal Turn,,2
V01901,2025-08-20 12:18:39.666224,INT003,Illegal Turn,,3
V01902,2025-10-21 14:45:39.666224,"40.7128,-74.0060",Illegal Parking,,5
V01903,2025-10-12 11:50:39.666224,"40.7128,-74.0060",Illegal Turn,Motorcycle,5
V01904,2025-08-25 22:54:39.666224,"40.7128,-74.0060",Speeding,Car,4
V01905,2025-10-10 22:55:39.666224,"34.0522,-118.2437",Speeding,Bus,1
V01906,2025-09-09 11:45:39.666224,INT001,Speeding,,3
V01907,2025-09-28 09:18:39.666224,INT001,Unknown,Bus,5
V01908,2025-10-03 17:47:39.666224,INT004,Unknown,Bus,2
V01909,2025-08-29 08:37:39.666224,"40.7128,-74.0060",Speeding,,3
V01910,malformed,"34.0522,-118.2437",Illegal Turn,Bus,4
V01911,2025-10-01 22:07:39.666224,INT003,Red Light,Truck,2
V01912,2025-08-29 03:58:39.666224,"40.7128,-74.0060",Illegal Turn,Motorcycle,1
V01913,2025-08-18 02:19:39.666224,"34.0522,-118.2437",Illegal Parking,Bus,1
V01914,2025-10-09 03:25:39.666224,"48.8566,2.3522",Red Light,Bus,4
V01915,2025-08-18 07:09:39.666224,INT005,Illegal Turn,Car,3
V01916,2025-08-02 15:50:39.666224,"40.7128,-74.0060",Illegal Parking,Car,4
V01917,2025-10-07 08:30:39.666224,INT002,Unknown,Truck,5
V01918,2025-09-14 00:15:39.666224,INT005,Red Light,Car,2
V01919,2025-09-25 06:14:39.666224,"40.7128,-74.0060",Speeding,,1
V01920,2025-10-02 06:14:39.666224,INT003,Red Light,Car,5
V01921,2025-08-01 21:31:39.666224,INT005,Illegal Parking,Bus,4
V01922,2025-09-25 18:59:39.666224,"40.7128,-74.0060",Illegal Turn,Truck,4
V01923,2025-10-15 00:37:39.666224,INT004,Illegal Parking,,3
V01924,2025-09-02 17:05:39.666224,INT004,Illegal Parking,Bus,5
V01925,2025-10-16 01:16:39.666224,INT005,Illegal Turn,Car,4
V01926,2025-07-29 09:39:39.666224,INT004,Unknown,,1
V01927,2025-08-31 16:42:39.666224,INT003,Red Light,,1
V01928,2025-08-03 18:46:39.666224,INT005,Unknown,Bus,3
V01929,malformed,INT002,Illegal Parking,,4
V01930,2025-07-29 14:15:39.666224,INT002,Unknown,Truck,4
V01931,2025-08-16 19:29:39.666224,INT004,Illegal Parking,Truck,2
V01932,malformed,"48.8566,2.3522",Red Light,Motorcycle,4
V01933,2025-08-15 12:26:39.666224,INT002,Unknown,Motorcycle,1
V01934,2025-08-21 01:04:39.666224,"34.0522,-118.2437",Red Light,,2
V01935,2025-10-22 02:18:39.666224,"40.7128,-74.0060",Unknown,Car,5
V01936,2025-09-08 15:17:39.666224,INT002,Unknown,Motorcycle,2
V01937,2025-10-21 10:49:39.666224,INT005,Unknown,Bus,1
V01938,2025-07-29 22:17:39.666224,"51.5074,-0.1278",Illegal Parking,Motorcycle,4
V01939,2025-10-25 19:29:39.666224,INT002,Illegal Turn,Truck,1
V01940,2025-10-01 13:52:39.666224,INT002,Speeding,Motorcycle,1
V01941,malformed,INT004,Red Light,Motorcycle,3
V01942,2025-09-05 23:37:39.666224,INT002,Red Light,Motorcycle,2
V01943,2025-08-17 06:52:39.666224,"48.8566,2.3522",Illegal Parking,Bus,3
V01944,2025-08-23 03:54:39.666224,INT002,Red Light,Motorcycle,2
V01945,2025-10-17 07:40:39.666224,"34.0522,-118.2437",Speeding,Motorcycle,2
V01946,2025-08-13 21:36:39.666224,"40.7128,-74.0060",Illegal Parking,Motorcycle,3
V01947,2025-08-01 11:40:39.666224,INT001,Illegal Turn,Motorcycle,3
V01948,2025-08-16 06:54:39.666224,"51.5074,-0.1278",Unknown,Motorcycle,1
V01949,2025-08-12 17:16:39.666224,INT001,Unknown,,5
V01950,2025-09-28 13:53:39.666224,"51.5074,-0.1278",Illegal Turn,Car,4
V01951,2025-08-12 11:57:39.666224,"51.5074,-0.1278",Speeding,Car,4
V01952,2025-09-30 04:29:39.666224,"34.0522,-118.2437",Illegal Parking,,1
V01953,2025-10-15 16:14:39.666224,INT004,Illegal Turn,,1
V01954,2025-07-31 14:38:39.666224,INT004,Illegal Turn,Motorcycle,4
V01955,2025-07-29 19:21:39.666224,"34.0522,-118.2437",Speeding,Car,4
V01956,2025-10-13 13:05:39.666224,"51.5074,-0.1278",Speeding,Car,3
V01957,2025-10-21 10:45:39.666224,INT002,Speeding,Motorcycle,5
V01958,2025-09-23 20:18:39.666224,"40.7128,-74.0060",Illegal Parking,,5
